Time (min),liver,spleen,HF1-2CFM+3DSPGR model
0.0,1.0055272108843538,1.00264725347452,1.00000031512183
0.95,1.0097789115646258,0.9662475181998676,0.9692245489201429
1.9,1.0034013605442176,0.99933818663137,0.9431558818972386
2.85,0.9842687074829932,0.9927200529450696,0.9462701058301612
3.8,0.9970238095238096,1.039046988749173,0.9890958070929624
4.75,1.5837585034013606,1.770350761085374,1.7117910883450664
5.7,2.172619047619048,1.2607544672402384,2.194205042252823
6.65,2.1875,1.1482461945731306,2.2184650485757214
7.6,2.2087585034013606,1.1184645929847783,2.1754353401730913
8.55,2.2130102040816326,1.055592322964924,2.0956893679256914
9.5,2.1534863945578233,1.0622104566512245,2.0002052192963427
10.45,2.055697278911565,1.0589013898080744,1.9192223805205277
11.4,2.081207482993197,1.072137657180675,1.8560022782340468
12.35,1.94515306122449,1.1184645929847783,1.8381227068934256
13.3,1.8771258503401362,1.085373924553276,1.8295159405903556
14.25,1.8707482993197282,1.0225016545334216,1.7652722275492732
15.2,1.7325680272108845,1.012574454003971,1.6664621536418238
16.15,1.7091836734693877,1.072137657180675,1.6163995936420408
17.1,1.6921768707482994,1.015883520847121,1.5741259672019656
18.05,1.6113945578231295,1.015883520847121,1.500894681691049
19.0,1.5880102040816326,1.015883520847121,1.4391198902270437
19.95,1.5072278911564627,1.015883520847121,1.3874054246465997
20.9,1.5051020408163267,1.0522832561217739,1.3736754076293796
21.85,1.4668367346938778,1.0622104566512245,1.3973630438988243
22.8,1.4583333333333335,1.0092653871608206,1.3819744982471762
23.75,1.40093537414966,0.982792852415619,1.3079478383720913
24.7,1.3541666666666667,1.0456651224354734,1.2781645559197834
25.65,1.3456632653061225,1.0059563203176705,1.2695631029544827
26.6,1.2988945578231295,1.012574454003971,1.2365303529824692
27.55,1.2903911564625852,1.0191925876902714,1.2365310443772348
